"age_cat","mean","lwr","upr","pop_sum","rate_mean","rate_lwr","rate_upr"
"0-4",248.89875,-216.025,684,1786526.08946293,13.9319963737459,-12.0919028988232,38.2865945274623
"5-9",182.89425,120,243,1818934.477925,10.0550213446194,6.59726897567487,13.3594696757416
"10-14",158.1985,98,213.025,1777888.71941409,8.89811034135675,5.51215601572051,11.9819085229476
"15-19",396.58275,314,473,1544182.58792881,25.6823741635327,20.3343828932279,30.631092702219
"20-24",442.64625,347,528,1305933.5210968,33.895006357463,26.5710309440996,40.4308482377077
"25-29",710.6705,626,791,1154751.71887886,61.5431428575819,54.2107874589508,68.4995732907829
"30-34",477.82825,395,557,1055825.85442394,45.2563505617793,37.4114725780713,52.7549119645208
"35-39",477.118,388,561,1046309.41218633,45.6000867853257,37.0827209887415,53.6170269966082
"40-44",93.4955,2,177,932823.609556664,10.0228488046561,0.214402806651787,18.9746483886832
"45-49",114.03325,12.975,207.025,905744.211231486,12.5900059405244,1.43252364620235,22.8568946323732
"50-54",118.11425,13,216,750637.065157568,15.7352008690387,1.73186225453324,28.7755574599369
"55-59",-8.13750000000009,-130,107,574480.026498902,-1.41649833321327,-22.6291592402732,18.6255387593018
"60-64",72.455,-61,197.025,520298.519138457,13.925659469486,-11.7240387501021,37.8676841760469
"65-69",-34.6065,-186,107,384747.15717925,-8.99460836922497,-48.3434371194962,27.8104718913231
"70-74",17.2227500000001,-156,179,264968.48660571,6.49992390439571,-58.874925844347,67.5552033726802
"75-79",34.1462500000001,-123.05,179,164386.318964942,20.7719536607437,-74.8541610851707,108.889840180785
"80-84",-25.55075,-150.025,92,74868.9814930768,-34.1272840774022,-200.383385760194,122.8813297113
"85-89",9.95300000000002,-62.025,80,26423.9949084224,37.6665225470036,-234.729836328534,302.755129484606
"90+",-24.25775,-74,22,7831.04038122459,-309.764077556789,-944.957456450099,280.933297863543
